,요양기관명,종별코드명,주소,x좌표,y좌표,시도명,시군구명
43,강동우리들요양병원,요양병원,"서울특별시 강동구 구천면로 202 행복타워빌딩 B2,2,3,4,6층 (천호동)",127.127112,37.5401093,서울특별시,강동구
44,강릉연세요양병원,요양병원,강원도 강릉시 옥가로 70 (옥천동),128.9008801,37.76228533,강원도,강릉시
45,강림요양병원,요양병원,부산광역시 사상구 낙동대로 792 (엄궁동),128.9728208,35.1312796,부산광역시,사상구
46,강민의료재단 나누리요양병원,요양병원,경상남도 김해시 진례면 진례로74번길 47 (),128.7534837,35.2395267,경상남도,김해시
47,강변요양병원,요양병원,경기도 가평군 가평읍 북한강변로 160 (),127.5259488,37.7473062,경기도,가평군
48,강북성심요양병원,요양병원,경기도 고양시 덕양구 중앙로557번길 7-14 (행신동),126.8354367,37.6227032,경기도,고양시
49,강북연세요양병원,요양병원,서울특별시 서대문구 성산로 335 (연희동),126.9276697,37.5661224,서울특별시,서대문구
50,강북요양병원,요양병원,대구광역시 북구 칠곡중앙대로 504-6 (읍내동),128.550773,35.9398615,대구광역시,북구
51,강북휴요양병원,요양병원,서울특별시 강북구 도봉로 161 서울컨벤션웨딩홀 (미아동),127.027052,37.6231841,서울특별시,강북구
52,강원도립강릉요양병원,요양병원,강원도 강릉시 경강로 2007-2007 2007,128.8888317,37.7492828,강원도,강릉시
53,강진효요양병원,요양병원,전라남도 강진군 강진읍 해강로 1322-0 (),126.7489794,34.6635826,전라남도,강진군
54,강화요양병원,요양병원,인천광역시 강화군 길상면 강화동로 181 (),,,인천광역시,강화군
55,강화희망요양병원,요양병원,인천광역시 강화군 송해면 강화대로 743 (),126.4606079,37.7633729,인천광역시,강화군
56,개금길요양병원,요양병원,부산광역시 부산진구 백양대로 252 1~7층 (개금동),129.0232186,35.1563932,부산광역시,부산진구
57,갤러리의아침요양병원,요양병원,경상남도 밀양시 내이신촌1길 14 (내이동),128.7351183,35.5049392,경상남도,밀양시
58,거제요양병원,요양병원,경상남도 거제시 거제대로 2975 (장승포동),128.7184787,34.859862,경상남도,거제시
59,거창군립 노인요양병원,요양병원,경상남도 거창군 거창읍 운정3길 180 (),127.8908109,35.6757991,경상남도,거창군
60,경기도립노인전문 평택병원,요양병원,경기도 평택시 삼남로 312 (도일동),127.0976195,37.0537393,경기도,평택시
61,경기도립노인전문남양주병원,요양병원,경기도 남양주시 수동면 외방로172번길 50 (),127.3093065,37.7383995,경기도,남양주시
62,경기도립노인전문동두천병원,요양병원,경기도 동두천시 탑신로 536 (탑동동),127.1361038,37.9009534,경기도,동두천시
63,경기도립노인전문시흥병원,요양병원,경기도 시흥시 하중로 285 경기도립 노인전문 시흥병원 (광석동),126.8070729,37.3862262,경기도,시흥시
64,경기도립노인전문여주병원,요양병원,경기도 여주시 북내면 도예로 361-14 (),127.669513,37.324967,경기도,여주시
65,경기도립노인전문용인병원,요양병원,경기도 용인시 기흥구 중부대로 940 (상하동),127.1555927,37.2504431,경기도,용인시
66,경기요양병원,요양병원,"경기도 부천시 부천로 44 지하1층 일부,1층일부,2~4층호 (심곡동)",126.7839544,37.4882434,경기도,부천시
67,경기웰니스요양병원,요양병원,경기도 양주시 평화로1479번길 45 경기웰니스요양병원 (덕계동),127.0466619,37.8224675,경기도,양주시
68,경대요양병원,요양병원,대구광역시 서구 국채보상로 223 대원빌딩 5~10층 (평리동),128.5553547,35.8708276,대구광역시,서구
69,경대자연요양병원,요양병원,대구광역시 북구 동화천로 241 4~7층 (연경동),128.617379,35.9426488,대구광역시,북구
70,경상남도립양산노인전문병원,요양병원,경상남도 양산시 상북면 양산대로 1870-64 (),129.0708358,35.4294707,경상남도,양산시
71,경상북도립경산노인전문요양병원,요양병원,경상북도 경산시 경안로 23-10  (상방동),128.7392,35.809358,경상북도,경산시
72,경상북도립김천노인전문요양병원,요양병원,경상북도 김천시 어모면 신애길 100-10 (),128.0522562,36.2111537,경상북도,김천시
73,경상북도립안동노인전문요양병원,요양병원,경상북도 안동시 남후면 남일로 1463 (),128.6890979,36.5229246,경상북도,안동시
74,경상북도포항노인전문요양병원,요양병원,경상북도 포항시 북구 용흥로 36 (용흥동),129.3549409,36.0348814,경상북도,포항시
75,경주시립노인전문요양병원,요양병원,경상북도 경주시 현곡면 충현로 610-120 (),129.1665308,35.876413,경상북도,경주시
76,경주요양병원,요양병원,"경상북도 경주시 태종로 572-0  4호 (충효동,경주요양병원)",129.1911375,35.8383821,경상북도,경주시
77,경희늘푸른노인전문병원,요양병원,서울특별시 도봉구 시루봉로 137 (방학동),127.0273968,37.6631956,서울특별시,도봉구
78,경희요양병원,요양병원,부산광역시 북구 만덕대로 106 (덕천동),129.0164317,35.2125989,부산광역시,북구
79,경희요양병원,요양병원,경상남도 창원시 마산합포구 3·15대로 243 7~11층 (중앙동3가),128.5670765,35.2000088,경상남도,창원시
80,계룡장수요양병원,요양병원,충청남도 계룡시 엄사면 향적산길 48-8 (),127.2173075,36.2860799,충청남도,계룡시
81,고려달전요양병원,요양병원,경상북도 포항시 북구 흥해읍 달전로 189 (),129.3339144,36.0617357,경상북도,포항시
82,고려대련요양병원,요양병원,경상북도 포항시 북구 흥해읍 새마을로 318-12 (),129.3307708,36.046055,경상북도,포항시
83,고려수재활요양병원,요양병원,경기도 부천시 부일로 504 (심곡동),126.7861234,37.4851449,경기도,부천시
84,고려요양병원,요양병원,"인천광역시 남동구 구월로 305 4층~8층외 303 7,8층동 (만수동)",126.7247148,37.4558364,인천광역시,남동구
85,고려요양병원,요양병원,울산광역시 울주군 온양읍 온양로 3 (),129.2746865,35.4160046,울산광역시,울주군
86,고령군립요양병원,요양병원,경상북도 고령군 대가야읍 중앙로 31 (),128.2719569,35.7302857,경상북도,고령군
87,고양센트럴요양병원,요양병원,경기도 고양시 덕양구 중앙로 620 (화정동),126.8299866,37.6272085,경기도,고양시
88,고은요양병원,요양병원,인천광역시 중구 연안부두로21번길 11-12 (항동7가),126.6050432,37.4557405,인천광역시,중구
89,고은재활요양병원,요양병원,대구광역시 남구 현충로 236 2~6(4층 일부)층 (대명동),128.5835124,35.8537035,대구광역시,남구
90,고흥군공립노인전문요양병원,요양병원,전라남도 고흥군 고흥읍 고흥로 1941 (),127.2941819,34.6222288,전라남도,고흥군
91,곡성군립노인전문요양병원,요양병원,전라남도 곡성군 겸면 곡순로 1756 (),127.1842753,35.2531057,전라남도,곡성군
92,공립무안군노인전문요양병원,요양병원,전라남도 무안군 무안읍 몽탄로 51-12 (),126.4892025,34.9932228,전라남도,무안군
93,공주에덴요양병원,요양병원,충청남도 공주시 치미마을길 4 (신관동),127.1270196,36.4754539,충청남도,공주시
94,공주푸르메요양병원,요양병원,충청남도 공주시 태봉위뜸길 25 (태봉동),127.0900946,36.409462,충청남도,공주시
95,곽요양병원,요양병원,부산광역시 사하구 낙동남로 1361 (하단동),128.9607182,35.1065177,부산광역시,사하구
96,광교참좋은요양병원,요양병원,경기도 용인시 수지구 광교중앙로 311 우리상가 3층~9층 (상현동),127.0689088,37.2978027,경기도,용인시
97,광명효요양병원,요양병원,"경기도 광명시 오리로 352 (소하동, 이화프라자)",126.8796699,37.4339919,경기도,광명시
98,광안정다운요양병원,요양병원,부산광역시 수영구 광안해변로 292-292 3~6층 (민락동),129.1255979,35.1560624,부산광역시,수영구
99,광안참사랑요양병원,요양병원,부산광역시 수영구 광안해변로 235 (민락동),129.1197047,35.1546611,부산광역시,수영구
100,광양시공립노인전문요양병원,요양병원,전라남도 광양시 진등길 91  (마동),127.6901039,34.9574726,전라남도,광양시
101,광제요양병원,요양병원,"경상남도 창원시 마산합포구 남성로 167 (동성동, 한마빌딩)",128.5781246,35.2056531,경상남도,창원시
102,광주고려요양병원,요양병원,"광주광역시 동구 구성로 268 (계림동, 고려요양병원)",126.9197469,35.1578554,광주광역시,동구
103,광주누가요양병원,요양병원,광주광역시 북구 유림로 177 (동림동),126.8641553,35.1788537,광주광역시,북구
104,광주시립제1요양병원,요양병원,광주광역시 광산구 삼도로 84-3  (삼거동),126.6671025,35.1630553,광주광역시,광산구
105,광주시립제2요양병원,요양병원,광주광역시 남구 덕남길 100 (덕남동),126.8976495,35.0938827,광주광역시,남구
106,광주연세요양병원,요양병원,광주광역시 북구 동운로 29 (동림동),126.8598918,35.1767094,광주광역시,북구
107,광주요양병원,요양병원,광주광역시 광산구 월계로 173-9 (월계동),126.8476698,35.2173124,광주광역시,광산구
108,구례요양병원,요양병원,전라남도 구례군 구례읍 동편제길 4 (),127.4639375,35.2159096,전라남도,구례군
109,구리한빛요양병원,요양병원,"경기도 구리시 검배로 42 2층,3층~6층 (수택동)",127.1435537,37.5975921,경기도,구리시
110,구리효요양병원,요양병원,"경기도 구리시 동구릉로 56 영빈웨딩프라자 지하1층, 2층~5층 (인창동)",127.1341083,37.6050855,경기도,구리시
111,구미 푸른요양병원,요양병원,경상북도 구미시 장천면 산호대로 1391 (),128.4800816,36.1365413,경상북도,구미시
112,구미가톨릭요양병원,요양병원,경상북도 구미시 야은로 483  (도량동),128.3355718,36.1348964,경상북도,구미시
113,구미시립노인요양병원,요양병원,경상북도 구미시 야은로 37-1  (부곡동),128.290267,36.1531976,경상북도,구미시
114,구인의료재단법인 오복요양병원,요양병원,울산광역시 남구 두왕로 335 (신정동),129.3069606,35.5313559,울산광역시,남구
115,국민요양병원,요양병원,울산광역시 남구 번영로 15 (야음동),129.3298454,35.5270829,울산광역시,남구
116,국제베드로요양병원,요양병원,인천광역시 미추홀구 아암대로 53 3~10층 (용현동),126.6544099,37.4665321,인천광역시,미추홀구
117,군립청도노인요양병원,요양병원,경상북도 청도군 화양읍 청화로 79-7 (),128.7368062,35.6486288,경상북도,청도군
118,군산제일요양병원,요양병원,전라북도 군산시 대학로 183  (문화동),126.7027785,35.9754247,전라북도,군산시
119,군포참요양병원,요양병원,"경기도 군포시 군포로 493 (당동, 군포병원B동)",126.9440597,37.3506712,경기도,군포시
120,굿뉴스요양병원,요양병원,경상남도 거제시 거제면 거제남서로 3554 3554,128.5838055,34.8573898,경상남도,거제시
121,굿모닝요양병원,요양병원,서울특별시 성동구 천호대로 436 2~7층 (용답동),127.0672271,37.5606946,서울특별시,성동구
122,굿모닝요양병원,요양병원,광주광역시 광산구 송촌길 51 덕임요양병원 (송촌동),126.7791926,35.1381176,광주광역시,광산구
123,굿헬스요양병원,요양병원,충청남도 공주시 번영2로 18-10 6~9층 (신관동),127.1329483,36.4688959,충청남도,공주시
124,그랜드자연요양병원,요양병원,부산광역시 남구 황령대로 355-14 (대연동),129.097829,35.1468593,부산광역시,남구
125,그레이스힐 요양병원,요양병원,"서울특별시 노원구 노원로 461 대감프라자빌딩 3,4,5,6층 (상계동)",127.063654,37.61490573,서울특별시,노원구
126,그린요양병원,요양병원,광주광역시 북구 경양로 21 (임동),126.8938596,35.1631274,광주광역시,북구
127,근로복지공단 경기요양병원,요양병원,경기도 화성시 우정읍 쌍봉로 465-4 (),126.7966415,37.1143507,경기도,화성시
128,금강요양병원,요양병원,"인천광역시 미추홀구 인주대로 452 (주안동, A동 지1층~6층, B동 5층~6층)",126.6865689,37.450577,인천광역시,미추홀구
129,금산효사랑요양병원,요양병원,충청남도 금산군 남일면 무금로 2145,127.5055125,36.0828583,충청남도,금산군
130,금정의료소비자생활협동조합 금송요양병원,요양병원,"부산광역시 연제구 중앙대로 1078 (연산동, 4,5층)",129.0805408,35.1839834,부산광역시,연제구
131,금정형주요양병원,요양병원,부산광역시 금정구 금강로 638 (남산동),129.088895,35.2641996,부산광역시,금정구
132,금천수요양병원,요양병원,서울특별시 금천구 남부순환로 1400 2~9층 (독산동),126.9064303,37.4800294,서울특별시,금천구
133,기장연세요양병원,요양병원,부산광역시 기장군 기장읍 반송로 1644 (),129.2178113,35.2507269,부산광역시,기장군
134,김신요양병원,요양병원,대구광역시 수성구 수성로 228 지하1~10층 (중동),128.6131199,35.8458392,대구광역시,수성구
135,김천요양병원,요양병원,경상북도 김천시 모암길 3  (용두동),128.1274765,36.12114,경상북도,김천시
136,김포다올요양병원,요양병원,경기도 김포시 김포한강10로133번길 67 지1-2층 (구래동),126.6191511,37.6411268,경기도,김포시
137,김포요양병원,요양병원,경기도 김포시 풍무로 20 3-4층 (풍무동),126.7211122,37.597671,경기도,김포시
138,꿈의숲요양병원,요양병원,서울특별시 강북구 월계로 183 (번동),127.0449372,37.6205782,서울특별시,강북구
139,꿈이있는요양병원,요양병원,"인천광역시 미추홀구 인중로 5 정산빌딩 지하1,지상2~10층 (숭의동)",126.6417867,37.4621277,인천광역시,미추홀구
140,나무요양병원,요양병원,인천광역시 서구 고산후로121번길 19 새롬프라자 1~5층 (원당동),126.6970662,37.5945932,인천광역시,서구
141,나은요양병원,요양병원,인천광역시 남동구 소래역남로16번길 20 둘리프라자 (논현동),126.7357691,37.3983762,인천광역시,남동구
142,나은요양병원,요양병원,전라북도 전주시 덕진구 기린대로 951-0  (여의동),127.0806579,35.8644284,전라북도,전주시
143,나주광주요양병원,요양병원,전라남도 나주시 예향로 3782-0 (이창동),126.7111518,34.99242244,전라남도,나주시
144,나주중앙요양병원,요양병원,전라남도 나주시 영산로 5406 (성북동),126.7197799,35.0355238,전라남도,나주시
145,남구미요양병원,요양병원,경상북도 구미시 금오대로 378  (오태동),128.3527066,36.0771578,경상북도,구미시
146,남구요양병원,요양병원,광주광역시 남구 효덕로303번길 12  (송하동),126.895386,35.1103477,광주광역시,남구
147,남궁요양병원,요양병원,"충청북도 청주시 상당구 상당로 47-0 2,3층 (남문로2가)",127.4903676,36.6326381,충청북도,청주시
148,남대구요양병원,요양병원,대구광역시 서구 서대구로 315 (비산동),128.5356084,35.8352383,대구광역시,서구
149,남대전요양병원,요양병원,대전광역시 동구 산서로1660번길 142 (대별동),127.4630041,36.2834788,대전광역시,동구
150,남산정요양병원,요양병원,부산광역시 북구 만덕대로 158 (덕천동),129.0219608,35.213061,부산광역시,북구
151,남서울요양병원,요양병원,"서울특별시 구로구 남부순환로 1291 A동 1, 4, 6~층 B동5~7층 (가리봉동)",126.8943407,37.4788907,서울특별시,구로구
152,남양주나무요양병원,요양병원,경기도 남양주시 평내로29번길 41 메인프라자 9층 (평내동),127.2349877,37.645415,경기도,남양주시
153,남양주정드림노인전문병원,요양병원,경기도 남양주시 사릉로 13 (금곡동),127.2070058,37.6345613,경기도,남양주시
154,남원효사랑요양병원,요양병원,전라북도 남원시 옥정4길 7 (향교동),127.3870797,35.4151312,전라북도,남원시
155,남지요양병원,요양병원,경상남도 창녕군 남지읍 동포로 15 (남지읍),128.4812507,35.3906089,경상남도,창녕군
156,남해군립노인전문병원,요양병원,경상남도 남해군 남해읍 화전로 173-1 남해노인전문병원,127.8922473,34.8468669,경상남도,남해군
157,네이처요양병원,요양병원,"서울특별시 강남구 헌릉로569길 21-40 지하4~지하3층, 지하2층일부, 지하1층일부, 지상1층일부, 지상2~3층, 지상5~8층 (세곡동)",,,서울특별시,강남구
158,노벨요양병원,요양병원,광주광역시 동구 동계천로 22 (대인동),126.914775,35.155715,광주광역시,동구
159,노블레스요양병원,요양병원,부산광역시 동래구 충렬대로 437 안락동 요양병원 (안락동),129.1062622,35.196697,부산광역시,동래구
160,노블레스요양병원,요양병원,"울산광역시 남구 돋질로 277 지하1층,지상1-8층 (삼산동)",129.3350796,35.5445704,울산광역시,남구
161,노블요양병원,요양병원,전라남도 나주시 남평읍 세남로 1566-3 (),126.834746,35.0272979,전라남도,나주시
162,노블케어요양병원,요양병원,"서울특별시 강남구 언주로 858 1관,2관동 (신사동)",127.0338629,37.5270089,서울특별시,강남구
163,노아요양병원,요양병원,대구광역시 중구 국채보상로139길 41 (동인동1가),128.606099,35.8711628,대구광역시,중구
164,노원솔요양병원,요양병원,"서울특별시 노원구 덕릉로 690 기업은행 2,3,4,5층 (중계동)",127.0756609,37.6591968,서울특별시,노원구
165,녹십자요양병원,요양병원,"서울특별시 금천구 시흥대로 202 3,4층 (시흥동, 대의빌딩)",126.9021321,37.4519765,서울특별시,금천구
166,녹십자요양병원,요양병원,경상남도 김해시 호계로 416 (부원동),128.8854771,35.2275674,경상남도,김해시
167,논산사랑요양병원,요양병원,충청남도 논산시 시민로331번길 5 (취암동),127.0900706,36.1943607,충청남도,논산시
168,논산시립노인전문병원,요양병원,충청남도 논산시 시민로294번길 11 (취암동),127.0934558,36.1928093,충청남도,논산시
169,논산하나요양병원,요양병원,충청남도 논산시 생뫼길 20 (강산동),127.0898457,36.186807,충청남도,논산시
170,누리요양병원,요양병원,충청북도 청주시 흥덕구 오송읍 오송생명로 168-0 (),127.3277684,36.6317754,충청북도,청주시
171,뉴라이프요양병원,요양병원,전라남도 화순군 동면 운곡길 6-75 (),127.0337724,35.0105112,전라남도,화순군
172,뉴서울성모요양병원,요양병원,서울특별시 영등포구 영중로34길 6 (영등포동8가),126.9061506,37.5260615,서울특별시,영등포구
173,느루요양병원,요양병원,"서울특별시 강남구 도산대로 209 느루요양병원빌딩, 지하1~2층, 지상1~10층 (신사동)",127.0293906,37.5205044,서울특별시,강남구
174,느루요양병원,요양병원,서울특별시 강동구 강동대로 143-52 느루요양병원빌딩 (성내동),127.1205141,37.5278654,서울특별시,강동구
175,늘봄재활요양병원,요양병원,제주특별자치도 제주시 관덕로 30 (삼도이동),126.5223963,33.5129974,제주특별자치도,제주시
176,늘편한요양병원,요양병원,전라남도 광양시 중마중앙로 134  (중동),127.6983316,34.9422622,전라남도,광양시
177,늘푸른요양병원,요양병원,광주광역시 북구 우치로 20 (중흥동),126.911133,35.1693304,광주광역시,북구
178,늘푸른요양병원,요양병원,경상남도 창원시 진해구 충장로 181 (여좌동),128.6719227,35.1527092,경상남도,창원시
179,늘행복요양병원,요양병원,부산광역시 사상구 엄궁북로 32 (엄궁동),128.973638,35.128199,부산광역시,사상구
180,다나암요양병원,요양병원,경기도 양평군 강하면 사호1길 51 다나암요양병원,127.4191319,37.4976021,경기도,양평군
181,다나움요양병원,요양병원,서울특별시 송파구 가락로 278 지하1층~지상6층 (방이동),127.1198479,37.5124782,서울특별시,송파구
182,다나힐요양병원,요양병원,충청남도 천안시 서북구 직산읍 석양길 4 (),127.1072169,36.8861569,충청남도,천안시
183,다사랑요양병원,요양병원,부산광역시 북구 덕천로 339 (만덕동),129.0407558,35.2091397,부산광역시,북구
184,다사요양병원,요양병원,대구광역시 달성군 다사읍 왕선로 31 2~7층,128.4642476,35.8623666,대구광역시,달성군
185,다솜요양병원,요양병원,"경기도 부천시 삼작로 286 1,3,4,5층 (도당동)",126.7936337,37.5199306,경기도,부천시
186,다솜요양병원,요양병원,대전광역시 동구 우암로 234 (가양동),127.4424833,36.3435108,대전광역시,동구
187,다스람요양병원,요양병원,"경기도 고양시 일산동구 성현로29번길 28-9 지항1층,1~4층 (성석동)",126.7912257,37.7119941,경기도,고양시
188,다온요양병원,요양병원,부산광역시 수영구 남천서로20번길 49 (남천동),129.1069351,35.1461295,부산광역시,수영구
189,다온요양병원,요양병원,"경기도 부천시 장말로 192 바로빌딩,지하1층,2~7층 (상동)",126.7631977,37.4927353,경기도,부천시
190,다온요양병원,요양병원,광주광역시 북구 안산로 47-2 지하1~지상5층 (오치동),126.8239596,35.1774735,광주광역시,북구
191,다온자연요양병원,요양병원,경상남도 하동군 북천면 옥단로 515 (다온자연요양병원),127.8774799,35.1449951,경상남도,하동군
192,다움요양병원,요양병원,광주광역시 북구 하서로 387 (양산동),126.8732136,35.2095879,광주광역시,북구
193,닥터김앤박요양병원,요양병원,서울특별시 영등포구 영중로 133 2~5층 (영등포동8가),126.9053677,37.528319,서울특별시,영등포구
194,단양군립노인요양병원,요양병원,충청북도 단양군 단양읍 별곡6길 10 (),128.3687759,36.9871156,충청북도,단양군
195,달맞이요양병원,요양병원,부산광역시 해운대구 달맞이길117번나길 30 (중동),129.1811843,35.1584119,부산광역시,해운대구
196,달성요양병원,요양병원,대구광역시 달성군 논공읍 달성군청로1길 8 (논공읍),128.4285756,35.7772747,대구광역시,달성군
197,당진솔담요양병원,요양병원,충청남도 당진시 고대면 정미로 1055 (),126.5797214,36.9120047,충청남도,당진시
198,당진요양병원,요양병원,충청남도 당진시 신평면 말목길 22-13 (당진요양병원),126.7623616,36.88663,충청남도,당진시
199,당진효제요양병원,요양병원,충청남도 당진시 송악읍 본청길 96 96,126.7226216,36.8678261,충청남도,당진시
200,대건효도병원,요양병원,경기도 안성시 양성면 미리내성지로 386-27 386,127.2611215,37.1377005,경기도,안성시
201,대경효의료소비자생활협동조합 대경요양병원,요양병원,경상북도 성주군 선남면 도성3길 39-20 (),128.3677093,35.8820037,경상북도,성주군
202,대구광역시서부노인전문병원,요양병원,대구광역시 서구 와룡로 298-13 (중리동),128.5393492,35.8597069,대구광역시,서구
203,대구광역시시지노인전문병원,요양병원,대구광역시 수성구 유니버시아드로 365 대구광역시시지노인전문병원 (욱수동),128.7104698,35.8289669,대구광역시,수성구
204,대구명성요양병원,요양병원,대구광역시 달서구 성당로 223 (두류동),128.5732037,35.8521971,대구광역시,달서구
205,대구연세요양병원,요양병원,대구광역시 서구 북비산로 156 (평리동),128.5502499,35.8785067,대구광역시,서구
206,대구요양병원,요양병원,대구광역시 남구 현충로 184 대구요양병원 (대명동),128.5811107,35.8491747,대구광역시,남구
207,대구행복요양병원,요양병원,대구광역시 달서구 월배로 120 6~10층 (진천동),128.5274789,35.8145048,대구광역시,달서구
208,대덕의료재단 보람요양병원,요양병원,대구광역시 서구 달서로 35 (내당동),128.5707146,35.8654368,대구광역시,서구
209,대림요양병원,요양병원,"서울특별시 영등포구 가마산로 381 (대림동, 한세빌딩)",126.8997825,37.5026221,서울특별시,영등포구
